#{"t_start": 1575954450.8850539, "env_id": "multi-channel-DCA-v0"}
r,l,t,block_prob
-84,500,2.631925,0.7398843930635838
-73,500,3.440899,0.6875
-85,500,4.249836,0.7386363636363636
-91,500,5.059385,0.7710843373493976
-85,500,5.863477,0.7386363636363636
-73,500,6.664603,0.6935483870967742
-95,500,7.471123,0.7797619047619048
-90,500,8.274087,0.7602339181286549
-93,500,9.077315,0.7911392405063291
-90,500,9.879166,0.7664670658682635
-93,500,10.624177,0.7705882352941177
-77,500,11.435574,0.7021276595744681
-94,500,12.24397,0.7687861271676301
-79,500,13.054333,0.7096774193548387
-87,500,13.859249,0.7388888888888889
-82,500,14.66377,0.7262569832402235
-81,500,15.470487,0.7222222222222222
-90,500,16.272532,0.7542857142857143
-88,500,17.081018,0.7604790419161677
-85,500,17.881498,0.7258064516129032
-89,500,18.684693,0.7391304347826086
-83,500,19.440032,0.7157894736842105
-79,500,20.245014,0.7321428571428571
-76,500,21.060378,0.7071823204419889
-96,500,21.865501,0.7714285714285715
-85,500,22.66604,0.7386363636363636
-93,500,23.469752,0.7771084337349398
-72,500,24.270666,0.6820512820512821
-76,500,25.080949,0.6963350785340314
-85,500,25.883373,0.7258064516129032
-94,500,26.683994,0.7719298245614035
-82,500,27.438581,0.7055837563451777
-87,500,28.240903,0.7471264367816092
-86,500,29.049145,0.7374301675977654
-89,500,29.853307,0.75
-95,500,30.661464,0.7831325301204819
-90,500,31.47147,0.7664670658682635
-84,500,32.275115,0.7318435754189944
-79,500,33.076888,0.7074468085106383
-89,500,33.883745,0.7650602409638554
-85,500,34.678874,0.7333333333333333
-74,500,35.485009,0.6834170854271356
-83,500,36.228129,0.7204301075268817
